domain,top_fraction,p-binom,q,significant,mean estimate (model1),mean estimate (model2),mean error (model1),mean error (model2)
1.2,53,0.0,0.0,True,0.9118949643013969,0.8578383216545695,0.08810503569860306,0.14216167834543048
3.1,46,1e-10,2.488671744921745e-09,True,-0.5042457290666015,-0.1884529599035898,0.49575427093339847,0.8115470400964102
1.7,36,8.87486e-05,0.0014724408881424133,True,0.7969632772580971,0.7007968773397188,0.20303672274190282,0.29920312266028115
3.2,32,0.0031193474,0.03881515868487555,True,-0.484921463148831,-0.21120901594744138,0.515078536851169,0.7887909840525587
1.4,31,0.0065578093,0.06528093885398019,False,0.8141536510085303,0.7284742243245007,0.18584634899146973,0.27152577567549924
3.3,28,0.0433100379,0.35928155864406636,False,-0.5631149246906566,-0.36359812117359114,0.43688507530934345,0.6364018788264089
1.1,25,0.1742779336,1.0,False,0.8805681338433236,0.8300213509644307,0.11943186615667646,0.16997864903556922
1.6,22,0.4411219751,1.0,False,0.8931059699162605,0.84740369635915,0.10689403008373957,0.15259630364085
1.5,9,0.9998325865,1.0,False,0.865555292135548,0.8252687300494798,0.13444470786445198,0.17473126995052018
4.3,7,0.9999893305,1.0,False,0.6131597258133578,0.7146768042867974,0.6391102365646067,0.7254215318907702
4.1,6,0.9999978857,1.0,False,0.6570920546100075,0.6477616798753539,0.6571338600906292,0.6478304820844815
2.2,5,0.9999996558,1.0,False,0.8996450792867986,0.8810928852217538,0.1003549207132014,0.1189071147782462
2.1,3,0.9999999958,1.0,False,0.8783264847123434,0.8528348300570534,0.12167351528765663,0.14716516994294665
4.2,3,0.9999999958,1.0,False,0.7180428165611293,0.7096247453310542,0.7180428165611293,0.7096325429171205
1.3,1,1.0,1.0,False,0.9581292396783829,0.9588035913970735,0.04187076032161713,0.04119640860292646
